nameWithOwner,stargazerCount,releases,pushedAt,primaryLanguage,closedIssues,totalIssues
unclecode/crawl4ai,78787,20,2026-08-20T09:23:36Z,Python,984,1021
Leonxlnx/taste-skill,78614,0,2026-08-17T22:57:24Z,JavaScript,12,41
awesomedata/awesome-public-datasets,78275,1,2026-08-04T19:54:53Z,,49,131
opendatalab/MinerU,78096,186,2026-08-19T10:42:08Z,Python,2286,2339
elastic/elasticsearch,77847,261,2026-08-20T23:38:41Z,Java,42360,47021
tensorflow/models,77647,51,2026-08-20T21:31:44Z,Python,6247,7322
dair-ai/Prompt-Engineering-Guide,77639,0,2026-03-11T20:09:13Z,MDX,74,254
nomic-ai/gpt4all,77402,38,2025-05-27T20:05:19Z,C++,1494,2224
FortAwesome/Font-Awesome,76851,65,2026-07-15T18:15:53Z,JavaScript,19644,19934
rtk-ai/rtk,76828,281,2026-08-20T11:24:10Z,Rust,449,1431
MisterBooo/LeetCodeAnimation,76696,0,2026-06-12T13:49:06Z,Java,43,61
nestjs/nest,76410,158,2026-08-20T02:08:53Z,TypeScript,5854,5860
grafana/grafana,76332,640,2026-08-20T23:55:23Z,TypeScript,42198,44929
sdmg15/Best-websites-a-programmer-should-visit,76273,0,2025-09-16T18:34:24Z,,105,185
redis/redis,76063,150,2026-08-20T14:45:16Z,C,4801,7059
tesseract-ocr/tesseract,76052,36,2026-08-17T06:09:36Z,C++,2329,2765
AppFlowy-IO/AppFlowy,75789,142,2026-08-11T13:01:19Z,Dart,3319,4215
ocornut/imgui,75758,122,2026-08-19T11:39:50Z,C++,5872,6919
typicode/json-server,75680,49,2026-03-23T19:40:00Z,JavaScript,576,1193
D4Vinci/Scrapling,75541,52,2026-08-19T20:19:22Z,Python,147,149
openai/openai-cookbook,75413,0,2026-08-20T20:46:14Z,Jupyter Notebook,740,818
obsproject/obs-studio,75249,247,2026-08-20T23:22:01Z,C,4392,5191
PKUFlyingPig/cs-self-learning,75076,5,2026-08-13T14:21:23Z,HTML,108,238
caddyserver/caddy,75056,136,2026-08-19T03:07:24Z,Go,4402,4602
shareAI-lab/learn-claude-code,74803,0,2026-08-18T17:42:28Z,Python,165,202
python/cpython,74453,0,2026-08-20T19:53:54Z,Python,70718,77761
enaqx/awesome-react,74347,0,2026-08-20T07:58:12Z,,122,127
apache/superset,74325,267,2026-08-20T23:37:35Z,Python,12456,12665
abi/screenshot-to-code,74289,0,2026-08-14T17:20:50Z,Python,284,404
hiyouga/LlamaFactory,74257,36,2026-08-20T10:53:39Z,Python,7034,8029
unslothai/unsloth,74095,55,2026-08-20T23:58:11Z,Python,3283,4206
josephmisiti/awesome-machine-learning,74088,0,2026-08-11T21:49:59Z,Python,117,118
Eugeny/tabby,74024,209,2026-08-18T04:03:25Z,TypeScript,3624,6327
datawhalechina/hello-agents,73952,3,2026-08-18T06:51:35Z,Python,247,309
unionlabs/union,73852,113,2026-07-25T18:20:02Z,Rust,1714,1842
twitter/the-algorithm,73846,0,2025-09-08T18:40:54Z,Scala,752,1082
thedaviddias/Front-End-Checklist,73588,2,2026-08-14T05:59:25Z,MDX,152,155
vuejs/awesome-vue,73538,0,2026-07-24T10:16:04Z,,193,234
binhnguyennus/awesome-scalability,73427,0,2026-01-04T03:51:47Z,,0,0
Panniantong/Agent-Reach,73384,7,2026-08-12T03:39:49Z,Python,139,204
CompVis/stable-diffusion,73329,0,2024-06-18T01:53:49Z,Jupyter Notebook,200,740
strapi/strapi,72982,541,2026-08-20T15:44:25Z,TypeScript,11952,12204
danielmiessler/SecLists,72959,30,2026-08-20T10:36:04Z,PHP,319,327
ComposioHQ/awesome-claude-skills,72905,0,2026-08-10T21:45:44Z,Python,11,143
microsoft/ai-agents-for-beginners,72890,0,2026-08-18T11:47:04Z,Jupyter Notebook,124,125
fffaraz/awesome-cpp,72850,0,2026-08-19T05:32:17Z,,360,593
NationalSecurityAgency/ghidra,72591,55,2026-08-20T13:07:30Z,Java,4582,6127
juliangarnier/anime,72284,37,2026-08-17T22:01:29Z,JavaScript,752,849
hakimel/reveal.js,72158,51,2026-05-21T19:20:20Z,JavaScript,1710,2513
pallets/flask,72143,38,2026-08-16T18:35:35Z,Python,2762,2762
chrislgarry/Apollo-11,72137,0,2026-07-15T02:29:53Z,Assembly,0,0
OpenBB-finance/OpenBB,72083,56,2026-07-30T17:33:42Z,Python,2274,2325
moby/moby,71986,308,2026-08-20T21:14:53Z,Go,20310,23591
daytonaio/daytona,71943,205,2026-07-24T07:12:07Z,,932,1244
protocolbuffers/protobuf,71748,219,2026-08-20T23:51:42Z,C++,6775,6899
toeverything/AFFiNE,71717,567,2026-08-20T23:01:24Z,TypeScript,3399,4004
nektos/act,71581,97,2026-08-09T22:50:11Z,Go,1082,1343
Asabeneh/30-Days-Of-Python,71490,0,2026-08-20T19:58:48Z,Python,90,180
666ghj/MiroFish,71281,3,2026-08-17T05:17:34Z,Python,338,399
binary-husky/gpt_academic,71217,32,2026-01-25T12:33:10Z,Python,1486,1784
prakhar1989/awesome-courses,70550,0,2023-05-04T12:49:34Z,,41,86
ansible/ansible,70409,252,2026-08-19T18:12:49Z,Python,32913,33439
swiftlang/swift,70264,70,2026-08-20T23:30:17Z,Swift,10504,18147
FoundationAgents/MetaGPT,69916,22,2026-01-21T10:12:33Z,Python,957,974
expressjs/express,69382,165,2026-08-01T09:58:10Z,JavaScript,3962,4067
ruvnet/ruflo,68492,1000,2026-08-20T12:38:01Z,TypeScript,1064,1637
base/node,68428,86,2026-07-22T19:00:12Z,Shell,370,379
code-yeongyu/oh-my-openagent,68175,238,2026-08-20T23:52:38Z,TypeScript,2091,2554
openinterpreter/openinterpreter,68085,65,2026-08-20T03:35:38Z,Rust,1099,1101
chartjs/Chart.js,67649,117,2026-05-27T21:17:31Z,JavaScript,6819,7318
BurntSushi/ripgrep,67449,75,2026-08-04T13:59:44Z,Rust,1702,1820
colbymchenry/codegraph,67391,30,2026-08-20T17:53:49Z,C,489,648
labmlai/annotated_deep_learning_paper_implementations,67323,0,2026-01-22T04:26:00Z,Python,115,143
gorhill/uBlock,67166,288,2026-08-20T15:06:04Z,JavaScript,3433,3446
apache/echarts,67103,125,2026-08-04T09:07:09Z,TypeScript,18020,19384
headroomlabs-ai/headroom,67018,163,2026-08-20T18:57:09Z,Python,686,931
scikit-learn/scikit-learn,66987,50,2026-08-20T14:56:33Z,Python,10705,12246
bradtraversy/design-resources-for-developers,66709,0,2026-05-24T10:07:48Z,,0,0
santifer/career-ops,66650,37,2026-08-20T21:41:30Z,JavaScript,879,1054
sindresorhus/awesome-nodejs,66579,0,2026-05-03T08:24:10Z,,102,105
xtekky/gpt4free,66573,504,2026-08-19T22:51:38Z,Python,2046,2048
cline/cline,66552,375,2026-08-20T23:30:35Z,TypeScript,3734,4393
leonardomso/33-js-concepts,66509,0,2026-08-02T14:51:44Z,JavaScript,120,121
TheAlgorithms/Java,66166,0,2026-08-20T21:43:50Z,Java,1245,1249
facebook/docusaurus,66023,157,2026-08-20T16:23:01Z,TypeScript,3177,3469
webpack/webpack,65971,462,2026-08-20T19:34:07Z,JavaScript,10170,10228
microsoft/AI-For-Beginners,65906,0,2026-07-21T11:11:48Z,Jupyter Notebook,185,197
prometheus/prometheus,65766,377,2026-08-20T15:33:17Z,Go,6037,6545
LadybirdBrowser/ladybird,65761,0,2026-08-20T23:45:29Z,C++,1459,1955
dani-garcia/vaultwarden,65714,85,2026-08-20T20:03:56Z,Rust,2737,2752
Fission-AI/OpenSpec,65696,45,2026-08-20T22:18:20Z,TypeScript,501,601
kelseyhightower/nocode,65652,1,2024-08-07T03:19:12Z,Dockerfile,737,4966
alacritty/alacritty,65437,108,2026-08-17T19:36:06Z,Rust,6016,6346
lydiahallie/javascript-questions,65317,0,2024-08-04T16:08:40Z,,233,253
docling-project/docling,65305,207,2026-08-20T15:03:32Z,Python,1074,1971
kdn251/interviews,65221,0,2025-05-12T12:56:04Z,Java,24,59
localstack/localstack,65148,106,2026-03-23T08:52:01Z,Python,6178,6178
Mintplex-Labs/anything-llm,64984,34,2026-08-20T22:13:43Z,JavaScript,3453,3746
shanraisshan/claude-code-best-practice,64802,0,2026-08-20T06:38:39Z,HTML,48,52
gsd-build/get-shit-done,64667,78,2026-05-31T17:46:54Z,JavaScript,1890,1890
nocodb/nocodb,64603,199,2026-08-20T18:22:56Z,TypeScript,4357,4752
