nameWithOwner,stargazerCount,createdAt,pullRequests,releases,pushedAt,primaryLanguage,closedIssues,totalIssues
Dogfalo/materialize,38815,2014-09-12T19:35:38Z,449,41,2026-08-20T13:49:11Z,JavaScript,4598,5221
spacedriveapp/spacedrive,38801,2021-09-27T05:09:04Z,1968,28,2026-07-29T00:31:28Z,Rust,522,550
lapce/lapce,38755,2018-02-06T08:41:06Z,1184,35,2026-07-15T11:27:37Z,Rust,1210,2037
ajeetdsouza/zoxide,38749,2020-03-05T13:11:40Z,264,38,2026-08-19T10:40:09Z,Rust,650,749
Yeachan-Heo/oh-my-claudecode,38691,2026-01-09T03:36:29Z,1670,244,2026-08-18T12:34:36Z,TypeScript,1381,1384
ant-design/ant-design-pro,38683,2017-08-25T10:40:44Z,1181,34,2026-08-19T17:24:35Z,TypeScript,9800,9842
bytedance/UI-TARS-desktop,38659,2025-01-19T09:04:43Z,1074,38,2026-08-05T02:48:59Z,TypeScript,218,538
naptha/tesseract.js,38641,2015-06-24T02:49:52Z,205,57,2026-05-17T04:19:12Z,JavaScript,707,738
gto76/python-cheatsheet,38637,2018-01-25T04:16:53Z,0,1,2026-07-29T14:56:37Z,Python,27,27
google-research/google-research,38590,2018-10-04T18:42:48Z,34,0,2026-08-19T20:48:11Z,Jupyter Notebook,352,1464
chatchat-space/Langchain-Chatchat,38560,2023-03-31T12:12:45Z,621,31,2025-11-10T09:27:42Z,Python,4242,4248
huiyadanli/RevokeMsgPatcher,38536,2019-07-21T15:12:52Z,14,21,2026-08-16T12:51:44Z,C#,993,1050
kilimchoi/engineering-blogs,38533,2015-06-13T18:25:17Z,681,0,2024-08-21T13:01:11Z,Ruby,77,98
google/langextract,38456,2025-07-08T20:46:06Z,121,18,2026-08-19T07:21:21Z,Python,121,198
httpie/cli,38436,2012-02-25T12:39:13Z,406,47,2024-12-17T17:30:35Z,Python,724,911
dotnet/aspnetcore,38385,2014-03-11T06:09:42Z,19852,296,2026-08-21T00:06:55Z,C#,36002,39770
istio/istio,38355,2016-11-18T23:57:21Z,30604,450,2026-08-20T23:04:26Z,Go,21708,22102
frappe/erpnext,38317,2011-06-08T08:20:56Z,32173,1000,2026-08-20T20:28:10Z,Python,16835,18607
portainer/portainer,38293,2016-05-19T20:15:28Z,4786,189,2026-08-20T13:17:15Z,TypeScript,5419,6118
umami-software/umami,38290,2020-07-17T07:59:00Z,961,110,2026-08-20T18:26:22Z,TypeScript,2198,2235
sqlmapproject/sqlmap,38233,2012-06-26T09:52:15Z,185,11,2026-08-18T12:50:42Z,Python,5409,5434
PhilJay/MPAndroidChart,38192,2014-04-25T14:29:47Z,191,44,2025-06-05T07:06:39Z,Java,2898,4965
impress/impress.js,38172,2011-12-28T22:23:19Z,125,15,2026-07-23T07:05:16Z,JavaScript,434,485
huihut/interview,38141,2018-02-09T09:49:48Z,36,0,2025-08-24T07:01:54Z,C++,65,67
ueberdosis/tiptap,38101,2018-08-20T19:58:58Z,1803,985,2026-08-20T16:05:01Z,TypeScript,2932,3683
github/awesome-copilot,38079,2025-06-11T16:57:39Z,1256,0,2026-08-20T22:06:17Z,Python,429,486
